Timestamp,Voltage(V),Current(A),Power(W),Temperature(C),Battery(%),System_Status
2026-05-17 07:36:00,23.92,8.06,192.8,43.35,89.8,High Temperature
2026-05-17 07:37:00,24.04,7.96,191.36,42.99,89.7,High Temperature
2026-05-17 07:38:00,23.67,7.7,182.26,42.99,89.7,High Temperature
2026-05-17 07:39:00,24.03,8.03,192.96,44.77,89.6,High Temperature
2026-05-17 07:40:00,23.89,8.07,192.79,43.79,89.5,High Temperature
2026-05-17 07:41:00,23.8,7.67,182.55,44.33,89.4,High Temperature
2026-05-17 07:42:00,24.32,8.12,197.48,43.93,89.2,High Temperature
2026-05-17 07:43:00,23.56,7.98,188.01,42.92,89.1,High Temperature
2026-05-17 07:44:00,23.54,7.87,185.26,43.08,89.0,High Temperature
2026-05-17 07:45:00,23.75,7.72,183.35,42.71,88.8,High Temperature
2026-05-17 07:46:00,24.11,8.01,193.12,44.29,88.6,High Temperature
2026-05-17 07:47:00,23.92,7.45,178.2,43.32,88.5,High Temperature
2026-05-17 07:48:00,23.88,7.78,185.79,42.4,88.3,High Temperature
2026-05-17 07:49:00,23.87,7.34,175.21,42.2,88.1,High Temperature
2026-05-17 07:50:00,23.93,7.72,184.74,43.79,87.9,High Temperature
2026-05-17 07:51:00,23.15,7.64,176.87,41.84,87.7,Normal
2026-05-17 07:52:00,23.64,7.32,173.04,42.71,87.5,High Temperature
2026-05-17 07:53:00,23.53,7.44,175.06,41.66,87.2,Normal
2026-05-17 07:54:00,23.41,7.39,173.0,42.09,87.0,High Temperature
2026-05-17 07:55:00,23.9,7.32,174.95,41.6,86.7,Normal
2026-05-17 07:56:00,23.18,7.14,165.51,42.75,86.5,High Temperature
2026-05-17 07:57:00,23.03,7.0,161.21,41.51,86.2,Normal
2026-05-17 07:58:00,23.18,7.05,163.42,41.0,85.9,Normal
2026-05-17 07:59:00,23.23,7.12,165.4,42.11,85.6,High Temperature
2026-05-17 08:00:00,22.72,7.12,161.77,41.46,85.3,Normal
2026-05-17 08:01:00,22.78,7.18,163.56,42.26,85.0,High Temperature
2026-05-17 08:02:00,22.95,6.66,152.85,41.72,84.7,Normal
2026-05-17 08:03:00,23.22,6.97,161.84,41.02,84.4,Normal
2026-05-17 08:04:00,22.95,7.02,161.11,40.06,84.0,Normal
2026-05-17 08:05:00,22.68,6.98,158.31,41.74,83.7,Normal
2026-05-17 08:06:00,23.11,6.39,147.67,39.98,83.3,Normal
2026-05-17 08:07:00,22.91,6.86,157.16,40.36,83.0,Normal
2026-05-17 08:08:00,22.97,6.39,146.78,40.22,82.6,Normal
2026-05-17 08:09:00,22.94,6.28,144.06,39.71,82.2,Normal
2026-05-17 08:10:00,22.7,6.27,142.33,38.91,81.8,Normal
2026-05-17 08:11:00,22.66,6.53,147.97,39.58,81.4,Normal
2026-05-17 08:12:00,22.92,6.41,146.92,39.79,81.0,Normal
2026-05-17 08:13:00,22.48,6.25,140.5,38.86,80.6,Normal
2026-05-17 08:14:00,22.67,5.9,133.75,39.94,80.2,Normal
2026-05-17 08:15:00,22.05,6.25,137.81,39.26,79.7,Normal
2026-05-17 08:16:00,21.93,5.67,124.34,37.83,79.3,Normal
2026-05-17 08:17:00,22.55,5.6,126.28,39.0,78.9,Normal
2026-05-17 08:18:00,22.1,5.58,123.32,38.73,78.4,Normal
2026-05-17 08:19:00,21.84,5.86,127.98,37.28,78.0,Normal
2026-05-17 08:20:00,22.11,5.26,116.3,37.41,77.5,Normal
2026-05-17 08:21:00,22.03,5.34,117.64,37.9,77.0,Normal
2026-05-17 08:22:00,21.69,5.37,116.48,36.23,76.5,Normal
2026-05-17 08:23:00,21.68,5.43,117.72,35.87,76.1,Normal
2026-05-17 08:24:00,21.39,5.21,111.44,36.51,75.6,Normal
2026-05-17 08:25:00,21.47,5.02,107.78,35.61,75.1,Normal
2026-05-17 08:26:00,21.74,4.65,101.09,36.59,74.6,Normal
2026-05-17 08:27:00,20.78,4.89,101.61,34.83,74.1,Normal
2026-05-17 08:28:00,21.52,4.56,98.13,36.33,73.5,Normal
2026-05-17 08:29:00,20.98,4.38,91.89,34.85,73.0,Normal
2026-05-17 08:30:00,20.5,4.51,92.45,35.02,72.5,Normal
2026-05-17 08:31:00,21.34,4.68,99.87,34.61,72.0,Normal
2026-05-17 08:32:00,20.59,4.17,85.86,35.3,71.4,Normal
2026-05-17 08:33:00,21.1,4.29,90.52,34.03,70.9,Normal
2026-05-17 08:34:00,21.07,3.94,83.02,34.27,70.3,Normal
2026-05-17 08:35:00,21.01,4.22,88.66,33.78,69.8,Normal
2026-05-17 08:36:00,20.14,3.95,79.55,32.34,69.2,Normal
2026-05-17 08:37:00,20.5,4.01,82.2,32.31,68.7,Normal
2026-05-17 08:38:00,20.72,3.35,69.41,32.5,68.1,Normal
2026-05-17 08:39:00,20.35,3.36,68.38,33.31,67.5,Normal
2026-05-17 08:40:00,20.23,3.39,68.58,31.96,67.0,Normal
2026-05-17 08:41:00,20.4,3.17,64.67,32.23,66.4,Normal
2026-05-17 08:42:00,20.33,3.35,68.11,30.91,65.8,Normal
2026-05-17 08:43:00,19.43,3.18,61.79,31.03,65.2,Normal
2026-05-17 08:44:00,19.79,2.65,52.44,31.82,64.6,Normal
2026-05-17 08:45:00,19.88,3.08,61.23,31.08,64.1,Normal
2026-05-17 08:46:00,19.02,2.77,52.69,30.3,63.5,Normal
2026-05-17 08:47:00,19.2,2.73,52.42,29.79,62.9,Normal
2026-05-17 08:48:00,19.58,2.59,50.71,30.25,62.3,Normal
2026-05-17 08:49:00,19.35,2.35,45.47,29.66,61.7,Normal
2026-05-17 08:50:00,18.98,2.03,38.53,28.34,61.1,Normal
2026-05-17 08:51:00,19.01,2.23,42.39,28.97,60.5,Normal
2026-05-17 08:52:00,18.49,1.83,33.84,29.33,59.9,Normal
2026-05-17 08:53:00,18.29,1.57,28.72,28.61,59.3,Normal
2026-05-17 08:54:00,18.22,1.86,33.89,27.63,58.7,Normal
2026-05-17 08:55:00,18.92,1.68,31.79,28.31,58.1,Normal
2026-05-17 08:56:00,18.68,1.3,24.28,27.89,57.4,Normal
2026-05-17 08:57:00,18.25,1.6,29.2,27.24,56.8,Normal
2026-05-17 08:58:00,17.95,0.96,17.23,26.54,56.2,Normal
2026-05-17 08:59:00,17.87,1.26,22.52,27.21,55.6,Normal
